Gene,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
carB,4445,411,675,1514,2501,2228,2852,1847,3000,1873,1409,1117,1212,1147,2249,3595,2908,2687,2547,1675,2607,3695,0.50,12.50,6.92,3.24,9.92,1.31,6.42,5.17,20.39,9.35,2.92,6.82,6.68,15.91,4.01,2.94
pflB,4615,6984,6457,5645,5440,6178,5863,6557,6684,6004,5454,4877,3557,3629,4737,5699,8209,5999,7028,5774,6640,7624,6.20,14.16,9.31,4.56,8.59,3.28,4.70,11.53,17.16,10.03,8.30,2.45,10.74,10.76,11.16,2.20
dnaK,18605,59770,38606,14174,16849,17438,17699,13239,15492,13264,10501,9606,34072,33716,20710,44985,34137,18457,18097,11030,19666,18740,3.41,8.32,3.01,1.06,4.59,4.56,4.64,6.58,11.05,8.03,8.88,6.02,0.94,5.30,3.59,0.32
ilvC,33338,3422,2074,15604,19954,20988,29065,14079,26857,17840,11583,6798,18865,17213,41665,34023,19774,29345,23853,13576,24774,35790,1.31,7.68,13.83,2.40,5.70,1.81,5.92,6.06,23.87,6.51,3.53,7.26,2.63,10.75,2.56,3.52
infB,3047,6788,4375,1912,2532,2677,2827,2659,3822,2910,2327,2029,1200,1411,2280,4009,2725,3062,2785,1832,2546,3534,4.76,19.58,8.03,4.29,8.60,3.12,9.04,11.09,16.58,11.63,4.13,1.52,9.70,15.60,11.80,6.83
ppc,3633,1283,1488,1349,1452,3287,2185,1536,4288,2871,2129,1673,1316,1628,3019,3669,5644,3575,2647,1663,1479,5126,11.50,30.48,12.88,1.91,8.28,3.04,14.17,9.07,20.84,23.19,6.57,7.03,12.99,20.26,14.27,19.40
fusA,39027,86623,60762,21360,28956,31263,31225,28633,24574,19959,15430,12886,13324,12394,29539,35283,29860,34978,27365,20501,32672,38115,1.15,7.92,4.17,3.76,4.83,2.53,4.56,0.98,10.11,6.65,2.53,3.11,2.53,2.01,3.34,2.67
alaS,1948,3256,2475,1133,1510,1666,1710,1846,1726,1440,1193,1038,1085,1144,1714,2974,2251,2389,1778,1265,1821,2613,2.23,8.86,9.84,4.94,6.80,2.61,3.85,3.35,14.37,17.74,5.88,2.61,7.17,13.97,2.53,6.96
glyS,2914,6498,4134,1959,2514,2533,2683,2693,2680,2170,1696,1621,1269,1533,2680,3642,2722,3304,2793,1981,2448,3272,1.84,4.40,3.91,4.38,12.55,4.96,9.20,4.69,12.44,4.17,2.32,3.12,9.36,6.76,4.83,2.24
maeB,469,2473,1691,1504,1340,1312,1134,1257,2829,3030,2860,2794,523,576,546,779,543,969,1595,986,1455,1245,8.19,32.45,12.72,3.01,7.86,1.00,14.82,9.26,23.69,24.39,5.72,9.00,14.45,17.13,11.31,6.21
rpsA,23797,64900,33541,10729,16986,16209,20402,14453,18244,12112,9970,8662,8912,8261,15327,24274,17616,20320,17384,11286,17888,25304,3.47,0.74,2.83,4.02,0.98,3.49,1.62,6.89,18.22,6.98,5.94,12.26,4.68,2.39,3.33,4.57
leuS,1846,2692,2379,1202,1491,1459,1505,1311,1622,1369,1191,1069,889,907,1339,2105,1784,1684,1371,1100,1472,1797,2.74,3.84,4.91,5.32,9.71,3.08,10.28,7.16,17.32,0.74,8.23,1.85,10.82,10.53,5.50,1.68
thrA,5703,2160,1769,2108,3423,5215,4679,10181,7938,3275,2045,1464,2571,2798,6417,4512,5283,9303,4388,2073,3815,9641,10.22,26.72,19.93,2.09,8.60,4.89,7.22,9.96,21.73,11.77,3.74,10.32,13.71,13.80,7.56,18.42
sucA,1706,6084,4467,4195,2635,3326,2752,4196,3640,2817,2323,2149,1246,1026,1781,1952,2400,3205,3022,1630,3418,3460,6.14,14.91,13.05,3.37,8.20,1.86,8.27,4.13,8.08,12.77,11.55,3.18,11.08,16.93,2.93,5.21
ileS,2166,2886,2350,1348,1657,1621,1814,1921,1647,1363,1074,884,927,959,2086,2950,2024,2454,1625,1357,1569,2021,1.62,8.52,2.52,4.57,6.65,4.72,5.29,7.74,3.42,8.99,5.82,2.05,4.12,5.99,6.13,3.93
aldA,3501,11229,10885,17217,28815,17164,16408,27353,19056,31012,35721,36655,1866,1868,1805,1689,1864,5994,30561,28622,27057,9487,1.48,2.89,5.29,2.88,7.56,1.41,6.34,10.97,12.60,5.75,1.41,16.82,4.26,6.40,15.85,5.09
aceF,9057,22341,10155,3567,6404,5696,5649,21930,7066,6302,5144,5610,7996,8856,10764,9534,13100,13628,6814,4888,6891,11238,3.33,12.12,2.06,7.37,5.57,4.79,8.05,7.43,4.07,12.10,7.74,7.36,5.18,19.83,6.29,8.42
dppA,4939,2476,15161,8170,13275,8661,9853,11652,10138,12011,10693,9324,4327,4713,7740,5160,6365,7698,10451,8002,11094,7462,2.48,3.93,7.03,2.38,0.59,4.15,1.16,2.77,1.95,11.11,1.92,0.67,5.30,4.72,3.69,4.88
pheT,5023,7699,6066,2818,3989,4413,4670,4724,6350,5645,5764,5152,1716,1901,3251,4815,4214,4320,4744,3868,4230,5932,2.96,17.63,12.09,3.00,5.38,3.94,2.10,9.90,19.51,9.62,2.48,2.47,10.69,13.11,17.72,6.74
aspS,2272,4356,2530,1505,1690,1748,1837,1605,2331,1930,1517,1483,1254,1252,2006,1914,2532,2747,2029,1397,1967,2590,4.62,7.29,4.30,5.76,5.47,1.74,5.03,12.05,19.12,20.20,4.11,2.82,2.91,7.65,3.17,5.16
valS,1719,3107,2137,828,1025,1040,1114,1044,1298,970,749,650,508,502,962,1911,1132,1387,1188,756,1052,1407,2.71,3.40,4.97,1.22,5.14,1.18,9.79,16.39,17.87,16.19,1.47,3.85,4.99,0.61,3.51,8.19
secA,706,1794,1114,451,665,737,622,790,935,836,757,750,326,342,442,666,552,660,709,442,617,771,5.46,20.06,8.83,5.10,12.38,2.36,13.35,17.23,31.22,7.56,4.55,7.60,14.94,18.65,8.35,12.23
icd,33670,19445,34427,30054,29587,31728,24591,35445,30532,27433,22201,15274,13663,14036,37449,29759,28245,32222,33652,21773,28121,23699,1.71,3.57,1.06,4.26,2.69,1.34,10.36,10.31,9.60,15.91,1.07,5.03,4.77,3.26,8.26,5.54
atpD,24156,42417,48805,16016,23707,25159,26449,30533,24035,19994,14634,10875,7040,6955,13916,16817,13132,23770,24279,14507,25885,24016,0.64,1.22,1.21,3.50,2.69,2.36,3.13,2.16,18.28,5.14,2.56,7.67,3.39,4.00,3.48,2.94
gyrA,750,1873,1093,479,579,779,711,607,1157,848,734,636,401,388,506,855,671,712,726,405,637,896,16.76,32.88,12.50,8.74,6.96,7.94,6.24,14.16,22.81,20.69,4.08,1.76,18.68,13.70,8.79,10.24
katG,2199,2215,1900,2683,3221,5526,3180,3661,3298,4104,4575,5007,485,435,1541,3729,2122,2182,3900,3944,3254,2927,9.36,3.20,2.82,4.72,5.02,3.54,28.58,22.30,21.48,7.20,10.65,7.52,0.88,1.74,9.13,4.78
pepN,1296,2506,1944,1215,1442,1301,1418,1327,1358,1366,1287,1036,604,678,1056,1436,1364,1411,1429,978,1324,1472,3.27,8.36,1.55,1.72,3.46,0.86,6.86,9.40,18.05,6.43,2.75,2.93,8.99,7.20,6.18,5.20
aceA,28173,15283,25688,242737,139131,87949,74908,48723,109529,184169,200923,218132,19208,18695,43571,60986,23676,28038,138987,195985,121542,33323,4.45,3.03,3.17,0.64,2.51,3.30,10.02,9.68,8.64,8.71,6.64,5.56,4.37,6.43,13.19,8.77
pykF,8902,10333,9259,4455,4816,7011,7111,3406,7111,5143,4493,5255,6420,5873,5929,8994,9675,10167,6069,6137,4950,11825,2.69,6.29,4.46,5.79,2.68,5.53,2.96,6.56,14.70,10.75,3.26,6.58,8.02,1.13,11.96,1.66
putA,128,1513,873,117,123,172,134,120,169,151,108,95,106,113,156,113,178,165,114,77,114,136,10.90,23.41,6.11,3.13,32.98,21.31,14.91,35.86,13.89,16.77,4.38,9.54,10.38,15.99,2.59,8.51
fumA,1352,6237,5154,4783,4156,2807,2523,3289,4712,3725,2337,1543,179,178,778,649,1220,2149,4336,2088,4416,2749,0.82,6.08,5.40,1.54,4.62,3.98,7.67,6.23,15.63,13.49,4.46,7.76,3.97,8.61,5.76,0.79
tsf,19872,44439,36078,8017,12406,15725,15125,12702,10783,7679,6264,5277,11102,10314,21190,18115,21680,17206,11768,8289,12319,17724,2.13,6.13,4.30,3.80,1.90,2.96,3.26,2.59,8.14,4.82,4.30,5.64,3.92,4.38,7.58,1.46
ptsI,10158,5193,4399,2651,3257,6470,4118,3075,6956,5090,4040,3375,3060,3538,5527,6983,6137,4769,5355,4457,3423,9261,1.59,2.74,2.57,2.76,2.96,4.77,4.29,2.03,12.82,6.20,2.33,3.71,3.28,3.00,10.80,1.87
htpG,2096,8121,4816,1330,1939,1951,1973,1554,1942,1679,1341,1130,1892,1958,1864,7184,2620,2253,1985,1162,2106,2069,2.88,3.08,0.27,2.53,6.13,4.25,6.29,5.70,6.67,14.27,8.06,4.14,1.87,7.18,5.11,1.51
argG,8325,1035,1307,2393,3172,4082,4295,3341,4294,2491,2377,2240,2173,1914,4802,8242,6240,4874,3963,2880,3827,5915,0.81,8.04,1.97,2.37,3.07,1.97,5.84,8.58,15.44,4.17,5.85,3.08,2.78,5.28,10.08,3.65
katE,1180,761,616,2061,2429,1822,1863,1150,1603,2315,2779,3141,607,602,1202,616,2033,884,1791,3328,2113,1121,6.11,12.72,18.80,5.37,4.76,3.22,1.83,4.72,3.95,16.25,8.34,6.79,3.72,5.86,38.53,15.80
glpK,496,13194,24980,527,688,426,27858,612,849,1140,1081,1018,513,537,408,531,420,409,783,414,570,425,1.26,17.47,2.35,1.37,6.27,1.93,5.23,6.95,64.99,8.71,3.49,16.15,8.65,10.01,28.74,30.64
tig,24929,56164,34934,11077,15332,15920,18285,14424,14812,12471,9580,7344,7596,6986,17052,19530,15756,21681,17976,11402,18740,21284,5.96,3.17,5.48,5.36,6.68,7.94,6.72,10.12,15.40,6.81,7.37,12.12,2.95,7.27,11.84,3.67
pgi,4601,5809,7317,2918,3204,4260,4494,2572,3773,3049,2677,2443,2663,2656,3751,5862,6171,5591,3898,3461,3150,4632,2.87,8.98,2.12,6.08,5.36,2.36,0.93,11.83,12.16,12.02,3.59,8.58,1.82,1.01,0.86,6.25
pnp,3171,6269,4446,2343,3171,3473,3275,2931,4772,4076,3482,3169,1566,1457,1928,2642,2888,3331,3660,2234,3146,4051,8.54,27.80,5.41,5.04,9.55,6.46,1.25,9.71,18.87,10.16,6.81,5.49,16.26,17.24,18.14,11.90
pta,1148,2679,1874,877,1094,1238,1053,3512,1519,1488,1389,1405,1199,1147,1187,1784,1837,1505,1144,909,1136,1461,6.97,29.25,8.09,3.35,11.44,3.20,6.17,8.59,13.62,13.84,6.31,8.80,15.77,16.33,12.54,4.55
bamA,2029,3023,2921,1167,1708,1794,1891,1962,1452,1349,1183,956,971,812,1942,1900,2178,1848,1687,1255,1562,1898,2.68,7.44,1.98,1.95,1.10,1.70,5.28,5.44,1.94,3.84,1.75,4.20,0.95,1.05,0.93,3.41
sdhA,2083,8367,6275,6360,4147,4507,3118,4984,6341,5840,5247,4903,696,713,1704,2402,1978,3181,4020,2734,4172,3371,6.25,7.92,4.22,4.48,7.60,1.86,7.96,10.34,13.50,7.85,3.10,1.37,5.52,9.08,10.30,2.32
acs,995,2346,4067,6590,11943,7848,3967,5485,7312,14562,14431,14683,3624,4132,1130,1151,1090,1987,10100,9872,9177,2489,0.96,3.00,9.79,1.34,3.78,3.04,3.23,9.01,24.35,12.19,7.49,11.33,3.81,5.63,20.26,6.24
ppsA,1158,2394,2161,2609,3040,1574,1851,4184,1852,2098,1870,1824,1265,1229,1896,1681,2050,1246,1929,1761,3507,607,2.32,4.46,12.73,3.96,1.33,4.03,9.21,5.76,17.42,6.01,3.30,20.47,2.03,3.37,3.58,2.81
guaA,3870,3818,13840,1392,2089,2535,2318,1640,2373,1473,1107,808,1468,1448,2930,3305,3242,2675,1686,1295,2459,2993,2.65,5.84,2.26,0.54,2.84,2.97,2.99,20.80,12.81,6.30,3.73,4.82,5.14,6.88,6.50,4.73
lon,1139,3411,1726,678,972,1121,1235,1182,1456,1159,877,743,741,826,985,1863,1406,1373,1401,869,1195,1585,7.12,18.91,10.65,6.54,12.86,7.47,4.58,3.65,18.22,4.92,5.72,3.99,10.41,13.00,6.73,10.83
mukB,199,463,260,152,175,235,199,212,293,268,266,239,48,44,155,302,210,279,260,165,208,319,17.78,32.95,9.65,4.26,6.56,2.27,13.47,12.14,20.38,5.75,10.08,8.21,18.93,31.60,21.06,9.17
pgk,40039,57863,61210,29802,30847,30790,34333,28150,30930,26962,21336,21372,24266,23448,44601,38747,41230,40867,25203,29926,27811,46061,6.17,6.11,4.02,7.29,3.89,9.18,4.85,3.94,15.81,15.47,6.74,1.71,7.03,5.27,4.11,6.44
oppA,5755,6684,30286,2957,5504,6786,4991,5510,6618,6163,5482,4274,7917,8660,14097,3358,6756,9196,5278,4291,6485,6056,2.15,4.83,1.75,1.85,2.12,2.96,7.21,3.82,2.34,14.38,16.53,24.62,8.77,4.02,11.39,4.88
glyA,24510,10374,14714,9091,13951,16718,14060,15279,13257,9219,6871,5125,9175,8548,24969,19720,24215,21797,16057,12529,16588,21028,9.44,2.22,2.38,5.95,2.10,4.90,2.94,5.87,7.10,7.84,4.64,5.52,3.33,14.13,10.62,2.63
aceB,4393,2422,3345,20350,11574,10897,8308,4700,11474,15539,16882,15952,4146,3429,11216,15460,6073,5058,12726,16308,9008,4842,5.44,12.29,11.19,2.33,5.05,1.84,1.98,15.01,2.66,13.80,9.24,10.11,4.55,4.54,7.74,8.99
rne,848,1624,1296,565,717,998,751,665,1279,1119,939,864,535,655,699,1129,744,894,979,566,664,1111,13.69,24.38,7.32,2.63,10.09,4.88,0.90,11.94,11.49,24.57,9.07,4.92,17.98,4.63,8.71,9.09
yjjK,2571,4583,4916,1597,2442,2461,2733,2259,2597,1817,1392,1344,1035,1074,1915,3375,1940,2402,2873,1837,2838,3079,8.43,0.97,2.91,2.52,3.73,10.93,5.13,5.50,5.97,1.49,4.13,7.25,3.55,2.89,5.13,3.40
ftsZ,6070,7898,7611,3181,3903,4423,4321,4167,3621,2976,2564,2224,1453,1599,5664,5243,5171,5988,4712,3098,4363,5163,1.38,7.56,3.67,3.26,3.21,3.87,8.92,7.37,2.85,10.05,2.85,1.34,1.80,7.99,1.99,10.96
gyrB,842,1700,1294,528,620,783,753,697,969,755,661,534,588,547,657,843,879,786,705,475,617,1004,10.06,12.62,15.23,9.83,14.81,3.02,7.95,5.64,17.64,11.85,3.03,3.65,9.03,9.68,9.32,14.08
thrS,939,1935,1146,646,891,850,947,817,1368,1128,1032,1071,688,608,754,1506,988,1053,834,652,789,1118,1.35,10.58,4.23,2.48,7.12,2.81,4.95,1.10,14.55,7.52,1.64,6.13,4.68,4.38,6.04,6.13
gdhA,6343,1137,2401,3650,3100,5056,4152,3776,8053,5862,4032,2559,637,680,4967,2509,5937,5418,4236,2406,3520,6184,2.18,18.08,7.73,4.96,11.70,2.40,9.60,19.16,19.33,15.50,3.87,5.92,1.48,21.27,11.07,8.33
nuoG,934,3781,2271,871,1391,1408,1467,1332,1510,1505,1275,1226,194,175,362,568,770,815,1469,905,1428,1477,3.41,17.05,2.14,1.27,5.35,6.98,13.98,13.68,18.11,19.16,9.31,15.03,3.20,13.50,11.99,10.13
gapA,47083,48645,47006,20252,22597,30079,32565,21072,33992,21446,15357,13174,16914,17821,25284,51517,39132,39747,27169,16649,24432,62762,2.32,3.08,8.12,7.92,3.73,0.31,5.71,10.72,13.83,3.97,5.75,8.06,2.13,13.87,4.57,6.45
purH,2728,891,2708,1138,2134,2129,2376,2584,2258,1276,1010,832,1415,1226,2365,3268,2956,2502,1864,1366,2185,2814,1.68,3.26,5.78,4.40,4.15,2.40,5.22,3.05,17.72,5.17,6.24,8.24,1.27,9.05,2.96,3.23
acnA,595,975,785,1601,1333,1525,808,785,980,1298,1452,1343,537,568,598,668,660,505,1265,1309,1179,675,6.36,1.68,11.64,4.14,2.10,7.15,9.10,9.88,14.65,7.50,3.03,8.72,9.22,4.59,15.97,7.52
polA,440,912,593,352,445,442,443,482,460,398,360,340,204,222,278,392,362,417,381,329,380,423,1.76,17.34,6.98,8.06,7.23,5.72,1.13,54.77,17.27,7.68,7.23,4.08,4.42,7.10,9.09,6.64
tnaA,613,44379,77262,2409,1660,1103,1045,886,2164,3073,3055,3743,451,362,514,761,584,652,1655,1392,1726,700,3.01,0.70,5.29,5.06,7.07,3.07,15.53,12.26,9.68,4.40,7.88,4.34,5.66,6.49,6.25,6.25
nuoC,935,3225,2613,889,1324,1542,1631,1067,1743,1579,1501,1264,206,218,509,763,896,997,1402,909,1220,1508,8.11,13.03,5.11,0.64,2.47,1.19,17.42,11.42,22.62,13.77,5.83,9.60,7.72,9.91,7.83,1.52
cysI,3011,620,1641,1575,2033,2175,2553,1931,1971,1408,1055,980,233,211,890,1952,1542,1791,1849,1333,1748,2699,6.48,4.55,6.18,8.43,8.20,10.81,19.12,18.63,16.08,8.45,5.07,10.25,9.54,7.67,6.55,4.40
gltA,9671,16361,22905,34014,18189,22205,17601,37156,31664,26675,26529,25070,7346,7213,11332,15412,10203,16664,28231,18130,19403,20067,5.28,11.48,12.48,5.70,3.96,5.23,5.66,4.65,16.16,14.90,6.92,7.20,7.34,7.32,8.39,6.59
glnA,17828,7286,8691,4983,6478,7101,10251,7185,11472,7979,6991,6998,3323,3485,9159,12088,15327,10670,9280,6009,6422,13251,3.59,10.32,7.84,4.42,8.88,3.15,7.67,1.97,13.40,4.32,2.27,4.73,8.62,11.27,3.75,5.80
aldB,589,729,715,1711,2373,1148,1055,1359,1404,3113,4715,7135,3190,3130,714,660,501,594,1413,2931,1181,455,5.14,17.92,4.01,5.98,7.31,2.53,14.03,15.27,6.61,13.22,9.31,1.48,6.01,5.22,33.76,12.77
leuA,2711,885,894,4243,2917,3170,3381,2093,3700,3827,3791,5032,1835,1460,6311,4732,2207,5256,3334,4272,3468,3810,1.90,6.67,9.67,2.63,3.30,4.42,6.89,11.46,16.86,17.18,3.68,24.90,0.81,7.06,3.32,2.40
glcB,282,632,658,2377,990,1074,767,289,835,1555,1741,1365,528,535,282,380,319,436,1168,1283,900,443,2.92,10.58,12.76,4.78,1.82,7.31,15.19,16.47,4.95,19.17,31.77,13.45,1.93,6.53,3.35,12.21
dld,608,449,619,672,691,577,557,577,660,624,521,591,397,440,646,427,602,747,573,514,604,548,10.70,13.60,9.25,3.35,16.89,3.15,12.94,5.32,4.16,25.63,11.46,8.28,9.52,8.37,4.29,5.17
ompA,119680,146530,155611,74605,80912,121079,102913,70788,123520,101824,82588,72016,103070,110803,156261,78742,116878,118659,75848,73020,89206,91352,5.55,0.60,3.22,3.26,2.12,1.58,2.71,4.49,5.95,6.11,4.40,12.41,5.41,9.74,11.63,3.50
atpA,14552,23968,33172,11045,16436,18991,17975,19369,16490,13452,10761,8336,5415,5207,11021,13294,11071,16490,17105,11769,20018,19100,2.74,4.42,2.91,1.18,5.05,3.67,4.68,1.66,5.58,4.02,2.04,7.34,4.54,4.08,2.38,4.33
rplB,14191,39858,27001,6847,9745,14393,12282,11648,17428,11427,8608,8213,7645,7045,10501,24089,14846,14197,11391,6446,10100,19492,11.25,36.93,8.62,4.94,10.58,3.46,6.33,11.93,15.47,21.79,7.90,1.42,17.92,25.32,9.71,12.52
proS,4322,6443,5831,2267,3311,3075,3719,3209,3782,2779,2164,1944,2124,2101,2586,4049,4284,4418,3858,2720,3844,4835,7.77,4.40,6.72,6.24,3.65,2.39,1.76,1.06,16.77,4.01,3.29,3.61,2.65,7.40,8.18,0.92
glmS,4025,5271,5985,1661,2923,1902,3600,2797,2963,2134,1611,1396,1339,1532,2182,4978,2912,4036,2422,2110,3345,4185,6.29,8.83,5.20,0.97,2.77,2.77,3.27,11.97,18.30,9.58,2.08,6.39,8.15,5.03,2.58,4.15
iscS,13683,12757,15753,9479,9022,10000,12342,9824,12450,8341,6609,4353,1443,1457,11673,16080,10393,15564,12332,9043,8615,14541,4.82,8.27,9.51,0.98,4.25,1.50,5.86,6.84,16.13,11.24,6.46,10.42,6.04,3.06,13.48,9.34
prlC,1350,2706,1832,1084,1062,1041,1204,1029,947,811,788,601,564,594,1153,1522,1380,1116,1312,1031,1080,1324,1.48,11.42,9.91,5.07,6.64,2.57,10.39,3.49,9.67,10.68,4.39,1.16,6.34,3.08,6.67,2.92
nrdA,560,1236,1362,348,500,742,667,724,1020,864,798,543,340,325,466,880,555,671,693,434,516,801,6.73,23.18,16.15,1.82,10.34,5.42,7.73,14.30,27.15,16.34,4.14,5.75,3.84,14.41,13.59,11.53
ahpF,2435,5161,4090,2203,2237,3951,2320,1820,2033,1795,1394,1098,388,353,2204,3201,3229,3420,2414,1484,2379,3058,1.75,2.91,6.02,7.09,0.74,5.14,11.02,8.08,15.69,5.93,6.56,2.69,0.81,9.53,6.07,8.85
glpD,135,3852,5702,107,91,97,5946,84,104,100,99,82,172,200,179,203,196,173,162,120,132,174,6.82,6.49,5.75,6.18,17.20,6.02,7.86,20.38,15.03,36.88,20.18,1.87,8.15,17.34,5.99,11.17
guaB,11237,5909,33132,4041,5972,5952,5556,4400,7003,4021,2795,2499,5959,6582,13023,7942,11468,8773,4655,3240,6679,7601,4.92,11.04,6.73,2.61,2.19,1.03,7.84,3.73,9.42,5.40,5.31,8.34,4.96,11.25,6.44,7.12
rho,3243,5934,4071,2062,2393,2286,2583,2343,2789,2213,1849,1837,1496,1529,2365,3182,3003,2727,2543,1696,2669,3129,4.77,5.54,6.04,7.43,6.21,4.34,4.02,2.06,13.64,9.38,6.48,2.87,2.68,8.05,1.51,5.54
ftsH,2236,3956,2991,1234,1660,1854,2098,1987,2340,1867,1578,1492,972,924,2218,2858,2501,2316,1823,1467,1744,2278,1.37,6.35,3.80,4.06,3.57,1.37,4.44,2.78,6.67,1.80,4.10,7.63,4.06,5.51,2.10,5.73
metK,12499,7068,7432,3546,5204,7452,6822,6783,7688,5236,4316,3654,1784,1539,13006,15767,23325,11499,6447,4925,6038,8535,2.89,10.03,5.23,3.71,3.15,3.68,16.45,14.11,3.59,7.73,2.11,4.15,3.21,4.03,1.66,7.94
cysJ,3317,733,2069,1571,1980,2087,2586,1873,2005,1314,907,755,361,378,1416,3200,2638,2482,2028,1414,2064,3710,3.23,4.78,4.81,1.78,1.81,3.08,17.04,4.95,31.33,12.04,9.21,9.51,8.93,13.42,7.49,6.16
mdh,53138,73162,110645,119781,69353,66984,65977,129097,71459,60446,49038,42300,16270,19387,62946,62755,35818,70658,90773,49852,71565,75763,3.04,7.03,3.71,2.13,4.77,1.80,6.52,6.25,10.18,14.84,6.74,4.08,2.31,5.12,8.84,10.07
livJ,22968,1898,4197,21124,27978,32928,23525,22034,29684,34765,30450,23241,9484,9977,21688,17989,19798,17702,27776,23012,29892,25098,4.20,3.81,6.66,1.41,2.62,2.38,7.60,11.98,4.85,11.01,2.87,7.22,9.16,2.69,5.06,4.30
gnd,14100,17386,16083,5501,6745,8440,8331,7002,8213,5205,3915,2953,5465,6816,10145,16349,14593,12496,7285,4801,8024,10318,0.92,2.89,3.25,1.30,0.95,0.85,4.94,15.74,14.04,7.69,7.84,5.47,4.86,1.96,5.83,5.21
rpoA,14575,35102,25313,11406,14131,12583,14801,12963,16138,14085,10694,9661,7248,8734,15658,14407,13985,14154,11451,9998,11067,13757,6.78,9.50,3.78,3.94,3.47,3.84,8.10,4.62,7.58,8.76,6.60,3.74,1.45,8.13,6.08,3.03
nusA,5576,10025,7264,2771,3926,4392,4323,3807,3690,3117,2480,2232,2095,2597,4843,4199,4065,5048,4600,3467,4656,5474,2.33,8.89,4.13,0.86,2.51,2.23,8.15,5.01,10.86,9.18,6.11,5.63,4.78,6.19,2.98,6.63
