!!SBtab	TableType='Gene'
!LocusTag	!Reaction:Identifiers:kegg.reaction
b4226	R00004
b2441	R00749
b2440	R00749
b0352	R00750
b0870	R00751
b1241	R00754
b1478	R00754
b0356	R00754
b3589	R00754
b3916	R00756
b1723	R00756
b3600	R00758
b0394	R00760
b4232	R00762
b3925	R00762
b0678	R00765
b3916	R00767
b1723	R00767
b3729	R00768
b3916	R00769
b1723	R00769
b3916	R00770
b1723	R00770
b4025	R00771
b1613	R00772
b1622	R00782
b3008	R00782
b3365	R00787
b3366	R00787
b3365	R00789
b3366	R00789
b1224	R00798
b1225	R00798
b1227	R00798
b1226	R00798
b1465	R00798
b0403	R00801
b0403	R00802
b1309	R00803
b0822	R00804
b1621	R00811
b0731	R00811
b0679	R00811
b1101	R00811
b0129	R00811
b3845	R00829
b2342	R00829
b1747	R00832
b2917	R00833
b1852	R00835
b1896	R00836
b4239	R00837
b2716	R00839
b2901	R00839
b3721	R00839
b1734	R00839
b3608	R00842
b3608	R00844
b3926	R00847
b2241	R00848
b2242	R00848
b2243	R00848
b3426	R00848
b2241	R00849
b2242	R00849
b2243	R00849
b3426	R00849
b4041	R00851
b1090	R00851
b3059	R00851
b2239	R00857
b3449	R00857
b2763	R00858
b2764	R00858
b0394	R00867
b3565	R00878
b2049	R00883
b2053	R00888
b2688	R00894
b0928	R00895
b0928	R00896
b2414	R00897
b2421	R00897
b4260	R00899
b2523	R00899
b0237	R00899
b0932	R00899
b0888	R00900
b1444	R00904
b2662	R00908
b1302	R00908
b2297	R00921
b2919	R00923
b4069	R00925
b0335	R00925
b4069	R00926
b0335	R00926
b2224	R00927
b3845	R00927
b2342	R00927
b2844	R00927
b0333	R00931
b0048	R00936
b1606	R00936
b0048	R00937
b1606	R00937
b0048	R00939
b1606	R00939
b0048	R00940
b1606	R00940
b2315	R00942
b1232	R00944
b2551	R00945
b4019	R00946
b1002	R00947
b3430	R00948
b0758	R00955
b0688	R00959
b2066	R00962
b2744	R00963
b0480	R00963
b2291	R00963
b4374	R00963
b2066	R00964
b1281	R00965
b2498	R00966
b2066	R00967
b2066	R00968
b2066	R00970
b0337	R00974
b1263	R00985
b1264	R00985
b1263	R00986
b1264	R00986
b0073	R00994
b3772	R00996
b3117	R00996
b3939	R00999
b4055	R01010
b0980	R01010
b0383	R01010
b3919	R01015
b0963	R01016
b0311	R01025
b2239	R01030
b3449	R01030
b3945	R01034
b1207	R01049
b3752	R01051
b3034	R01054
b2914	R01056
b4090	R01056
b4383	R01057
b0688	R01057
b1779	R01061
b4477	R01064
b4381	R01066
b2935	R01067
b2465	R01067
b2925	R01068
b2097	R01068
b2096	R01069
b3137	R01069
b2925	R01070
b2097	R01070
b2019	R01071
b2312	R01072
b1263	R01073
b3973	R01074
b0775	R01078
b1612	R01082
b4122	R01082
b1611	R01082
b1131	R01083
b3960	R01086
b3770	R01090
b0757	R01092
b3076	R01100
b0344	R01100
b4119	R01101
b4119	R01103
b4119	R01104
b3076	R01105
b0344	R01105
b1224	R01106
b1225	R01106
b1227	R01106
b1226	R01106
b1465	R01106
b4171	R01122
b2889	R01123
b2744	R01126
b0480	R01126
b2291	R01126
b4374	R01126
b4006	R01127
b2508	R01130
b0477	R01131
b0125	R01132
b0104	R01134
b4177	R01135
b2518	R01137
b1854	R01138
b1676	R01138
b0381	R01150
b0092	R01150
b1584	R01154
b3073	R01155
b2937	R01157
b2020	R01158
b2020	R01163
b0237	R01166
b1241	R01172
b0351	R01172
b2224	R01177
b3845	R01177
b2342	R01177
b2844	R01177
b2222	R01179
b2221	R01179
b2533	R01185
b2533	R01186
b2533	R01187
b4119	R01194
b3924	R01195
b1119	R01201
b3338	R01206
b3771	R01209
b0269	R01209
b4297	R01209
b0074	R01213
b3770	R01214
b2290	R01215
b3572	R01215
b0134	R01216
b0529	R01220
b2903	R01221
b2905	R01221
b0116	R01221
b3941	R01224
b0134	R01226
b2744	R01227
b0480	R01227
b2291	R01227
b4374	R01227
b0477	R01228
b0469	R01229
b0238	R01229
b0125	R01229
b2507	R01230
b2507	R01231
b3801	R01243
b3665	R01244
b2162	R01245
b0386	R01248
b0386	R01251
b1014	R01253
b2210	R01257
b3447	R01262
b1768	R01268
b1805	R01280
b1622	R01285
b3008	R01285
b1622	R01286
b3008	R01286
b3939	R01288
b2687	R01291
b4039	R01302
b3825	R01309
b0494	R01309
b3821	R01314
b3821	R01316
b0615	R01323
b1276	R01324
b0118	R01324
b0771	R01324
b1276	R01325
b0118	R01325
b0771	R01325
b4119	R01329
b1415	R01333
b3385	R01334
b2979	R01341
b1189	R01342
b2296	R01353
b3115	R01353
b4069	R01354
b0335	R01354
b2222	R01359
b2221	R01359
b2599	R01373
b1189	R01374
b1033	R01388
b1033	R01392
b0508	R01394
b0323	R01395
b0521	R01395
b2874	R01395
b4245	R01397
b0273	R01398
b4254	R01398
b0159	R01401
b1288	R01403
b2836	R01406
b0337	R01411
b0968	R01421
b3565	R01432
b0271	R01433
b1415	R01446
b3616	R01465
b0004	R01466
b2239	R01470
b3449	R01470
b1617	R01478
b3092	R01482
b1270	R01492
b2459	R01492
b0594	R01504
b0596	R01505
b2926	R01512
b2913	R01513
b3124	R01514
b0514	R01514
b0968	R01515
b0755	R01518
b3612	R01518
b4395	R01518
b3355	R01523
b0063	R01526
b2029	R01528
b3386	R01529
b3197	R01530
b2781	R01532
b3091	R01540
b3526	R01541
b2842	R01542
b0474	R01547
b2066	R01548
b2066	R01549
b0459	R01556
b1623	R01560
b4384	R01561
b1238	R01567
b2744	R01569
b0480	R01569
b2291	R01569
b4374	R01569
b4382	R01570
b0485	R01579
b1524	R01579
b2388	R01600
b0756	R01602
b0404	R01623
b1091	R01624
b2563	R01625
b1092	R01626
b3564	R01639
b2935	R01641
b2465	R01641
b2662	R01648
b1302	R01648
b2315	R01654
b0529	R01655
b0421	R01658
b0755	R01662
b3612	R01662
b4395	R01662
b2744	R01664
b0480	R01664
b2291	R01664
b4374	R01664
b0910	R01665
b2883	R01676
b2162	R01677
b3076	R01678
b0344	R01678
b3517	R01682
b1493	R01682
b3447	R01687
b0116	R01698
b0114	R01699
b0726	R01700
b1638	R01710
b1638	R01711
b2329	R01714
b2599	R01715
b2600	R01715
b3360	R01716
b1812	R01716
b0593	R01717
b2265	R01717
b0931	R01724
b2600	R01728
b4054	R01731
b0212	R01736
b3437	R01737
b4268	R01737
b4266	R01738
b3553	R01739
b4266	R01740
b3125	R01745
b0509	R01745
b3125	R01747
b0509	R01747
b1800	R01751
b0062	R01761
b0285	R01768
b0284	R01768
b2866	R01768
b2867	R01768
b2162	R01770
b0003	R01771
b3940	R01773
b0002	R01773
b3940	R01775
b0002	R01775
b4013	R01777
b3846	R01778
b2341	R01778
b2799	R01781
b3902	R01785
b2388	R01786
b0578	R01793
b0578	R01794
b3918	R01797
b0175	R01799
b1409	R01799
b2585	R01800
b1912	R01801
b3225	R01811
b2048	R01818
b1613	R01819
b3428	R01821
b3417	R01821
b2927	R01825
b2601	R01826
b0754	R01826
b1704	R01826
b2464	R01827
b0008	R01827
b2925	R01829
b2097	R01829
b2935	R01830
b2465	R01830
b3916	R01843
b1723	R01843
b4232	R01845
b3925	R01845
b1386	R01853
b2781	R01855
b0160	R01856
b2518	R01857
b1854	R01858
b1676	R01858
b4384	R01863
b0945	R01867
b3642	R01870
b1692	R01872
b1919	R01874
b3831	R01876
b2143	R01878
b2066	R01880
b1136	R01899
b1276	R01900
b0118	R01900
b0771	R01900
b3580	R01901
b3904	R01902
b2373	R01908
b2418	R01909
b1636	R01909
b2988	R01917
b2988	R01918
b0121	R01920
b3425	R01931
b2521	R01931
b1757	R01931
b0116	R01933
b0726	R01933
b0727	R01933
b0726	R01940
b3172	R01954
b2744	R01968
b0480	R01968
b2291	R01968
b4374	R01968
b4382	R01969
b4384	R01969
b3846	R01975
b2341	R01975
b1395	R01976
b3092	R01983
b0237	R01992
b1062	R01993
b3626	R01994
b0421	R02003
b4238	R02014
b0888	R02016
b2234	R02017
b2235	R02017
b2675	R02017
b2676	R02017
b2234	R02018
b2235	R02018
b2675	R02018
b2676	R02018
b2234	R02019
b2235	R02019
b2675	R02019
b2676	R02019
b4238	R02020
b2762	R02021
b4238	R02022
b4238	R02023
b2234	R02024
b2235	R02024
b2675	R02024
b2676	R02024
b0418	R02029
b1278	R02029
b0767	R02035
b1851	R02036
b3821	R02054
b4160	R02055
b0677	R02059
b3176	R02060
b2168	R02071
b3223	R02087
b2744	R02088
b0480	R02088
b2291	R02088
b4374	R02088
b3648	R02090
b2066	R02091
b2518	R02093
b1098	R02094
b2066	R02096
b2066	R02097
b1098	R02098
b1238	R02099
b3640	R02100
b2781	R02100
b2827	R02101
b2744	R02102
b0480	R02102
b2291	R02102
b4374	R02102
b0285	R02103
b0284	R02103
b2866	R02103
b2867	R02103
b1927	R02108
b3571	R02108
b3432	R02110
b3428	R02111
b3417	R02111
b1241	R02124
b1478	R02124
b0356	R02124
b3589	R02124
b1106	R02134
b2162	R02137
b0238	R02142
b0125	R02142
b4384	R02147
b2280	R02163
b2279	R02163
b2278	R02163
b2277	R02163
b2276	R02163
b1224	R02165
b1225	R02165
b1227	R02165
b1226	R02165
b1465	R02165
b2280	R02166
b2279	R02166
b2278	R02166
b2277	R02166
b2276	R02166
b2162	R02172
b2501	R02184
b3770	R02199
b0048	R02235
b1606	R02235
b0048	R02236
b1606	R02236
b2315	R02237
b4042	R02240
b3018	R02241
b2799	R02257
b2799	R02258
b2800	R02262
b3902	R02263
b2873	R02269
b0154	R02272
b3359	R02283
b3433	R02291
b2319	R02291
b2478	R02292
b0268	R02292
b4298	R02292
b4384	R02294
b4384	R02295
b4384	R02297
b2905	R02300
b2954	R02319
b1854	R02320
b1676	R02320
b2744	R02323
b0480	R02323
b2291	R02323
b4374	R02323
b2065	R02325
b2518	R02326
b2066	R02327
b2039	R02328
b3789	R02328
b2518	R02331
b2066	R02332
b3338	R02334
b1260	R02340
b1261	R02340
b0772	R02362
b4051	R02364
b2066	R02371
b2066	R02372
b1386	R02382
b0728	R02404
b0729	R02404
b1622	R02408
b3008	R02408
b3390	R02412
b0388	R02412
b3281	R02413
b1692	R02413
b3429	R02421
b0516	R02423
b0512	R02424
b0512	R02425
b0928	R02433
b3903	R02437
b0063	R02439
b4323	R02454
b3517	R02466
b1493	R02466
b0425	R02472
b0133	R02473
b4382	R02484
b4384	R02484
b2143	R02485
b2418	R02493
b1636	R02493
b3939	R02508
b1033	R02527
b1386	R02529
b1651	R02530
b1385	R02536
b1398	R02539
b1800	R02545
b1444	R02549
b1521	R02555
b1623	R02556
b4384	R02557
b0312	R02565
b0312	R02566
b2925	R02568
b2097	R02568
b0115	R02569
b0727	R02570
b0727	R02571
b0982	R02585
b2061	R02585
b3942	R02596
b0350	R02601
b1386	R02613
b0342	R02616
b4041	R02617
b1090	R02617
b3059	R02617
b0928	R02619
b1884	R02623
b1883	R02624
b2383	R02628
b3947	R02628
b2416	R02628
b2829	R02628
b1621	R02630
b0731	R02630
b0679	R02630
b1101	R02630
b0129	R02630
b1621	R02631
b0731	R02631
b0679	R02631
b1101	R02631
b0129	R02631
b3575	R02637
b3575	R02639
b3959	R02649
b3222	R02650
b1732	R02670
b3942	R02670
b3846	R02685
b2341	R02685
b1393	R02685
b1394	R02685
b3600	R02703
b1621	R02704
b0731	R02704
b0679	R02704
b1101	R02704
b0129	R02704
b3222	R02705
b3786	R02707
b2744	R02719
b0480	R02719
b2291	R02719
b4374	R02719
b2781	R02720
b1260	R02722
b1261	R02722
b1317	R02728
b2472	R02734
b3809	R02735
b1852	R02736
b1896	R02737
b1621	R02738
b0731	R02738
b0679	R02738
b1101	R02738
b0129	R02738
b4025	R02739
b1780	R02739
b4025	R02740
b3825	R02744
b0494	R02744
b3825	R02746
b0494	R02746
b3825	R02747
b0494	R02747
b4382	R02748
b4384	R02748
b4383	R02749
b3752	R02750
b2787	R02752
b3126	R02754
b3018	R02760
b1093	R02767
b2323	R02768
b3223	R02770
b2040	R02777
b1897	R02778
b1621	R02780
b0731	R02780
b0679	R02780
b1101	R02780
b0129	R02780
b0088	R02783
b0085	R02788
b1619	R02792
b4388	R02853
b3368	R02864
b0121	R02869
b3531	R02886
b2132	R02887
b3533	R02889
b3651	R02917
b1637	R02918
b0337	R02922
b4119	R02926
b0517	R02935
b0517	R02936
b3387	R02961
b4349	R02961
b2330	R02961
b3262	R02961
b3974	R02971
b0759	R02984
b3996	R03004
b0639	R03005
b2020	R03012
b2022	R03013
b3904	R03014
b3974	R03018
b0058	R03020
b1269	R03020
b1086	R03020
b1135	R03020
b2183	R03020
b4055	R03024
b0980	R03024
b0383	R03024
b3846	R03026
b2341	R03026
b1393	R03026
b1394	R03026
b4478	R03033
b3634	R03035
b0595	R03037
b2697	R03038
b2502	R03042
b3846	R03045
b2341	R03045
b1393	R03045
b1394	R03045
b3671	R03050
b0078	R03050
b0077	R03050
b3769	R03050
b3670	R03050
b3774	R03051
b2873	R03055
b3177	R03066
b3177	R03067
b1621	R03076
b0731	R03076
b0679	R03076
b1101	R03076
b0129	R03076
b2799	R03080
b3389	R03083
b1693	R03084
b2521	R03105
b1757	R03105
b2521	R03106
b1757	R03106
b4054	R03120
b2414	R03132
b2421	R03132
b3939	R03132
b1386	R03139
b0871	R03145
b2802	R03163
b3804	R03165
b0778	R03182
b1593	R03182
b3972	R03191
b3972	R03192
b0091	R03193
b3368	R03194
b3803	R03194
b3997	R03197
b0776	R03210
b3939	R03217
b2436	R03220
b3850	R03222
b3993	R03223
b3846	R03224
b2341	R03224
b1393	R03224
b1394	R03224
b0774	R03231
b1621	R03232
b0731	R03232
b0679	R03232
b1101	R03232
b0129	R03232
b2168	R03236
b2095	R03236
b3132	R03236
b3916	R03236
b1723	R03236
b3916	R03237
b1723	R03237
b3916	R03238
b1723	R03238
b3916	R03239
b1723	R03239
b2803	R03241
b2021	R03243
b4197	R03244
b1215	R03254
b3939	R03260
b3639	R03269
b0114	R03270
b3846	R03276
b2341	R03276
b3126	R03277
b0386	R03291
b0386	R03293
b0243	R03313
b0726	R03316
b0688	R03319
b4025	R03321
b2744	R03346
b0480	R03346
b2291	R03346
b4374	R03346
b0109	R03348
b3198	R03350
b0918	R03351
b3076	R03355
b0344	R03355
b0980	R03372
b3693	R03387
b3779	R03409
b2502	R03409
b1661	R03411
b3825	R03416
b0494	R03416
b3825	R03417
b0494	R03417
b4213	R03423
b2903	R03425
b3958	R03443
b2022	R03457
b0414	R03458
b0414	R03459
b0908	R03460
b2103	R03471
b3053	R03473
b1107	R03492
b0142	R03503
b3058	R03504
b1262	R03508
b1262	R03509
b1635	R03522
b2302	R03522
b2132	R03527
b2518	R03530
b2781	R03531
b3942	R03532
b4213	R03537
b4213	R03538
b0340	R03546
b4084	R03576
b1764	R03595
b1680	R03599
b2414	R03601
b2421	R03601
b4119	R03618
b4119	R03634
b1876	R03646
b0930	R03648
b0526	R03650
b0680	R03652
b3560	R03654
b3559	R03654
b2514	R03655
b0026	R03656
b0642	R03657
b3287	R03658
b2890	R03658
b4129	R03658
b4155	R03658
b2114	R03659
b1714	R03660
b1713	R03660
b0194	R03661
b0893	R03662
b1719	R03663
b3384	R03664
b4258	R03665
b4150	R03743
b2247	R03774
b3845	R03778
b2342	R03778
b0406	R03789
b0885	R03813
b0116	R03815
b3845	R03858
b2342	R03858
b3447	R03867
b3830	R03893
b0072	R03896
b0071	R03896
b1584	R03910
b4136	R03913
b2582	R03913
b4136	R03914
b2582	R03914
b3447	R03916
b3942	R03919
b0394	R03920
b4213	R03929
b3288	R03940
b3368	R03947
b3368	R03950
b3803	R03950
b0072	R03968
b0071	R03968
b3447	R03970
b3447	R03971
b3801	R03980
b0480	R03986
b3845	R03991
b2342	R03991
b0072	R04001
b0071	R04001
b3942	R04007
b4119	R04019
b1463	R04024
b1386	R04027
b2260	R04030
b2261	R04031
b3821	R04034
b2026	R04035
b2026	R04037
b2842	R04049
b1621	R04076
b0731	R04076
b0679	R04076
b1101	R04076
b0129	R04076
b0212	R04090
b3846	R04100
b1210	R04109
b1621	R04111
b0731	R04111
b0679	R04111
b1101	R04111
b0129	R04111
b2435	R04112
b4169	R04112
b2817	R04112
b0867	R04112
b4219	R04120
b2905	R04125
b3846	R04137
b2341	R04137
b1393	R04137
b1394	R04137
b4005	R04144
b1991	R04148
b2262	R04150
b3447	R04159
b3846	R04170
b2341	R04170
b1393	R04170
b1394	R04170
b0907	R04173
b1107	R04184
b2662	R04188
b1745	R04189
b2743	R04190
b0031	R04198
b0031	R04199
b3846	R04203
b2341	R04203
b3846	R04204
b2341	R04204
b1393	R04204
b1394	R04204
b2779	R04206
b2499	R04208
b2320	R04210
b1748	R04217
b3846	R04224
b2341	R04224
b1393	R04224
b1394	R04224
b3639	R04230
b3639	R04231
b1204	R04238
b2315	R04241
b3347	R04273
b0028	R04273
b0525	R04273
b0441	R04273
b0053	R04273
b4475	R04274
b2765	R04286
b0750	R04292
b2234	R04294
b2235	R04294
b2675	R04294
b2676	R04294
b1386	R04300
b2213	R04314
b1335	R04314
b4238	R04315
b4373	R04316
b1066	R04316
b4150	R04318
b3081	R04319
b2500	R04325
b1849	R04325
b2500	R04326
b1849	R04326
b2323	R04355
b1095	R04355
b1091	R04355
b0166	R04365
b0348	R04376
b0469	R04378
b2843	R04383
b3256	R04385
b0185	R04386
b3256	R04386
b2316	R04386
b3974	R04391
b1621	R04393
b0731	R04393
b0679	R04393
b1101	R04393
b0129	R04393
b1621	R04394
b0731	R04394
b0679	R04394
b1101	R04394
b0129	R04394
b4016	R04401
b3829	R04405
b0954	R04416
b0334	R04424
b0073	R04426
b1288	R04429
b3774	R04439
b3774	R04440
b3771	R04441
b0269	R04441
b4297	R04441
b1014	R04444
b1014	R04445
b2104	R04448
	R04449
b2557	R04463
b4119	R04470
b3359	R04475
b2103	R04509
b4359	R04511
b0084	R04519
b0149	R04519
b1093	R04533
b1093	R04534
b0954	R04535
b1093	R04536
b1093	R04543
b1131	R04559
b4006	R04560
b3973	R04562
b1093	R04566
b0181	R04567
b0086	R04573
b1107	R04586
b2476	R04591
b0638	R04594
b0182	R04606
b0086	R04617
b0383	R04620
b3076	R04633
b0344	R04633
b2153	R04639
b2024	R04640
b0915	R04657
b3671	R04672
b0078	R04672
b0077	R04672
b3769	R04672
b3670	R04672
b3671	R04673
b0078	R04673
b0077	R04673
b3769	R04673
b3670	R04673
b4237	R04710
b0902	R04710
b3952	R04710
b0824	R04710
b1288	R04724
b2323	R04726
b1095	R04726
b1091	R04726
b0167	R04733
b3846	R04737
b2341	R04737
b3846	R04738
b2341	R04738
b1393	R04738
b1394	R04738
b3846	R04739
b2341	R04739
b3846	R04740
b2341	R04740
b1393	R04740
b1394	R04740
b3846	R04741
b2341	R04741
b3845	R04742
b2342	R04742
b3846	R04743
b2341	R04743
b3846	R04744
b2341	R04744
b1393	R04744
b1394	R04744
b3846	R04745
b2341	R04745
b3846	R04746
b2341	R04746
b1393	R04746
b1394	R04746
b3845	R04747
b2342	R04747
b3846	R04748
b2341	R04748
b3846	R04749
b2341	R04749
b1393	R04749
b1394	R04749
b3846	R04756
b2942	R04771
b2114	R04773
b3916	R04779
b1723	R04779
b4232	R04780
b3925	R04780
b0350	R04781
b3076	R04783
b0344	R04783
b1241	R04805
b1478	R04805
b0356	R04805
b3589	R04805
b3846	R04810
b2341	R04810
b3846	R04812
b2341	R04812
b3801	R04856
b1961	R04858
b2414	R04859
b2421	R04859
b2836	R04864
b1241	R04880
b1478	R04880
b0356	R04880
b3589	R04880
b2750	R04928
b2752	R04929
b2751	R04929
b3447	R04935
b1622	R04941
b3008	R04941
b3939	R04944
b3939	R04945
b3939	R04946
b2132	R04949
b4260	R04951
b2523	R04951
b0237	R04951
b0932	R04951
b2323	R04952
b1095	R04952
b1091	R04952
b1093	R04953
b1288	R04955
b2323	R04957
b1095	R04957
b1091	R04957
b1288	R04958
b2323	R04960
b1095	R04960
b1091	R04960
b1288	R04961
b2323	R04963
b1095	R04963
b1091	R04963
b1093	R04964
b0954	R04965
b1288	R04966
b2323	R04968
b1095	R04968
b1091	R04968
b1288	R04969
b3997	R04972
b1617	R04979
b2132	R04998
b0090	R05032
b2153	R05046
b2153	R05048
b1746	R05049
b1014	R05051
b0928	R05052
b3846	R05066
b2341	R05066
b3774	R05068
b3774	R05069
b3771	R05070
b0269	R05070
b4297	R05070
b3774	R05071
b4359	R05081
b0907	R05085
b0004	R05086
b3076	R05112
b0344	R05112
b1621	R05132
b0731	R05132
b0679	R05132
b1101	R05132
b0129	R05132
b2716	R05133
b2901	R05133
b3721	R05133
b1734	R05133
b2716	R05134
b2901	R05134
b3721	R05134
b1734	R05134
b4213	R05135
b3973	R05145
b2091	R05147
b0677	R05168
b3619	R05176
b3416	R05196
b2315	R05197
b1621	R05199
b0731	R05199
b0679	R05199
b1101	R05199
b0129	R05199
b1270	R05220
b2459	R05220
b1993	R05221
b1993	R05222
b1992	R05223
b1241	R05233
b1478	R05233
b0356	R05233
b3589	R05233
b1241	R05234
b1478	R05234
b0356	R05234
b3589	R05234
b0350	R05297
b0352	R05298
b0368	R05320
b3730	R05332
b1386	R05334
b3845	R05506
b2342	R05506
b3830	R05510
b3830	R05511
b4119	R05549
b1096	R05553
b0516	R05554
b1621	R05570
b0731	R05570
b0679	R05570
b1101	R05570
